Annotation Cluster 1	Enrichment Score: 2.9042960645335065
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006952~defense response	18	11.612903225806452	9.493647636463781E-5	33963_AT, 34636_AT, 37454_AT, 31793_AT, 33284_AT, 1403_S_AT, 37968_AT, 32250_AT, 34623_AT, 1910_S_AT, 34546_AT, 679_AT, 35956_S_AT, 36703_AT, 37898_R_AT, 1419_G_AT, 31506_S_AT, 1372_AT, 37105_AT, 33979_AT	138	615	14116	2.993849416755037	0.13651500620751478	0.13651500620751478	0.15819894216249075
GOTERM_BP_ALL	GO:0009617~response to bacterium	10	6.451612903225806	1.1016347932402029E-4	33963_AT, 32439_AT, 679_AT, 31793_AT, 1403_S_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 37061_AT, 34623_AT, 34546_AT, 33979_AT	138	193	14116	5.299992490801231	0.15660690166260238	0.08163563966288545	0.1835508026354682
GOTERM_BP_ALL	GO:0051704~multi-organism process	18	11.612903225806452	3.18697924173914E-4	33963_AT, 32439_AT, 1974_S_AT, 31793_AT, 1403_S_AT, 32084_AT, 35169_AT, 35373_AT, 37061_AT, 34623_AT, 1910_S_AT, 34546_AT, 32073_AT, 679_AT, 35956_S_AT, 34618_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	138	681	14116	2.703696609844857	0.3890777142542726	0.15148018358341298	0.5301372498722312
GOTERM_BP_ALL	GO:0050896~response to stimulus	53	34.193548387096776	4.19835853515614E-4	34629_AT, 33284_AT, 37968_AT, 1355_G_AT, 35956_S_AT, 1575_AT, 41280_R_AT, 33979_AT, 1974_S_AT, 38236_AT, 34636_AT, 37454_AT, 1403_S_AT, 32250_AT, 37905_R_AT, 1901_S_AT, 36766_AT, 1786_AT, 34546_AT, 37096_AT, 31512_AT, 37898_R_AT, 919_AT, 40790_AT, 1983_AT, 1372_AT, 36436_AT, 37105_AT, 966_AT, 35566_F_AT, 33963_AT, 33530_AT, 32717_AT, 33246_AT, 40186_AT, 35373_AT, 38128_AT, 37061_AT, 1910_S_AT, 679_AT, 34249_AT, 34618_AT, 37953_S_AT, 31506_S_AT, 38945_AT, 32439_AT, 38604_AT, 32680_AT, 31793_AT, 32084_AT, 967_G_AT, 34623_AT, 36703_AT, 1419_G_AT, 37166_AT, 37954_AT	138	3502	14116	1.5480760476415132	0.4775377352469806	0.1498144248150164	0.6978218804397973
GOTERM_BP_ALL	GO:0051707~response to other organism	11	7.096774193548387	5.297029034594357E-4	33963_AT, 32439_AT, 31793_AT, 1403_S_AT, 34623_AT, 37061_AT, 1910_S_AT, 34546_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	138	290	14116	3.879960019990005	0.5591883788428589	0.15111158426727966	0.8796780772580393
GOTERM_BP_ALL	GO:0006950~response to stress	31	20.0	6.646576344013427E-4	33963_AT, 34629_AT, 33284_AT, 33246_AT, 37968_AT, 40186_AT, 1910_S_AT, 679_AT, 35956_S_AT, 41280_R_AT, 31506_S_AT, 38945_AT, 33979_AT, 1974_S_AT, 32680_AT, 38236_AT, 34636_AT, 37454_AT, 31793_AT, 1403_S_AT, 967_G_AT, 32250_AT, 37905_R_AT, 1901_S_AT, 34623_AT, 34546_AT, 36703_AT, 1419_G_AT, 37898_R_AT, 919_AT, 1372_AT, 37105_AT, 37954_AT, 966_AT	138	1685	14116	1.881890508751559	0.6422433750034057	0.15744560667931284	1.1026319171550836
GOTERM_BP_ALL	GO:0042742~defense response to bacterium	7	4.516129032258064	7.71950154964808E-4	33963_AT, 679_AT, 31793_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 34623_AT, 34546_AT, 33979_AT	138	112	14116	6.393115942028985	0.6969616194203718	0.15680458995268798	1.2795495447881722
GOTERM_BP_ALL	GO:0009607~response to biotic stimulus	12	7.741935483870968	0.0012953066904884563	33963_AT, 1974_S_AT, 32439_AT, 31793_AT, 1403_S_AT, 34623_AT, 37061_AT, 1910_S_AT, 34546_AT, 679_AT, 1419_G_AT, 31506_S_AT, 37105_AT, 33979_AT	138	384	14116	3.1965579710144927	0.8651837068802436	0.19960436950632077	2.138269954075145
GOTERM_BP_ALL	GO:0009605~response to external stimulus	20	12.903225806451612	0.0013186026197053355	33963_AT, 1974_S_AT, 38604_AT, 38236_AT, 32717_AT, 34636_AT, 37454_AT, 31793_AT, 1403_S_AT, 37968_AT, 32250_AT, 1901_S_AT, 36766_AT, 1910_S_AT, 36703_AT, 919_AT, 40790_AT, 31506_S_AT, 1372_AT, 36436_AT, 37954_AT	138	914	14116	2.2382900453493164	0.8699589173117225	0.18452987028507506	2.176330063939258
GOTERM_BP_ALL	GO:0042221~response to chemical stimulus	24	15.483870967741936	0.0027974762578670213	33963_AT, 33284_AT, 35373_AT, 38128_AT, 1910_S_AT, 34618_AT, 1575_AT, 31506_S_AT, 38945_AT, 1974_S_AT, 32439_AT, 38236_AT, 31793_AT, 37454_AT, 32084_AT, 1403_S_AT, 967_G_AT, 1901_S_AT, 36766_AT, 36703_AT, 1419_G_AT, 37898_R_AT, 1983_AT, 36436_AT, 37166_AT, 966_AT	138	1281	14116	1.9164375657604453	0.9868450741424301	0.32545948977859696	4.564186334889541
